Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,posSent,negSent,compoundSent,repetitiveness
18,expressway to your heart,the soul survivors,1967,85,203,True,0.121,0.119,0.3634,0.581
19,soul man,sam  dave,1967,79,188,True,0.157,0.035,0.9642,0.58
20,never my love,the association,1967,51,137,True,0.014,0.414,-0.9974,0.628
21,apples peaches pumpkin pie,jay  the techniques,1967,94,207,True,0.204,0.134,0.9568,0.546
22,come on down to my boat,every mothers son,1967,72,136,True,0.099,0.06,0.5986,0.471
23,incense and peppermints,strawberry alarm clock,1967,77,158,True,0.256,0.079,0.9859,0.513
24,ruby tuesday,the rolling stones,1967,87,143,True,0.136,0.135,0.468,0.392
25,it must be him,vikki carr,1967,80,214,True,0.18,0.147,-0.2661,0.626
26,love is here and now youre gone,the supremes,1967,101,244,False,0.343,0.069,0.9987,0.586
27,for what its worth,buffalo springfield,1967,99,172,False,0.033,0.151,-0.9515,0.424
28,gimme little sign,brenton wood,1967,52,124,False,0.186,0.0,0.9695,0.581
29,the happening,the supremes,1967,89,182,True,0.183,0.057,0.9794,0.511
30,all you need is love,the beatles,1967,46,216,True,0.574,0.007,0.9998,0.787
31,release me,engelbert humperdinck,1967,53,120,True,0.058,0.279,-0.9862,0.558
32,your precious love,marvin gaye  tammi terrell,1967,93,206,True,0.345,0.007,0.9981,0.549
33,somebody to love,jefferson airplane,1967,61,170,True,0.424,0.038,0.9986,0.641
34,get on up,the esquires,1967,58,296,True,0.014,0.008,0.4215,0.804
35,brown eyed girl,van morrison,1967,100,271,True,0.025,0.005,0.743,0.631
36,jimmy mack,martha and the vandellas,1967,88,187,True,0.228,0.055,0.9924,0.529
37,i got rhythm,the happenings,1967,54,188,True,0.108,0.155,-0.8628,0.713
38,a whiter shade of pale,procol harum,1967,90,148,True,0.043,0.019,0.3818,0.392
39,dont you care,the buckinghams,1967,66,130,True,0.038,0.264,-0.981,0.492
40,then you can tell me goodbye,the casinos,1967,49,144,True,0.149,0.036,0.9611,0.66
41,reflections,the supremes,1967,103,238,True,0.194,0.157,0.9578,0.567
42,on a carousel,the hollies,1967,83,207,True,0.028,0.076,-0.8225,0.599
43,please love me forever,bobby vinton,1967,53,112,True,0.366,0.207,0.9726,0.527
44,alfie,dionne warwick,1967,79,134,True,0.22,0.071,0.9778,0.41
45,silence is golden,the tremeloes,1967,72,156,True,0.097,0.095,-0.1717,0.538
46,my cup runneth over,ed ames,1967,58,100,True,0.189,0.0,0.9719,0.42
47,up up and away,the 5th dimension,1967,72,189,True,0.329,0.02,0.9973,0.619
48,san francisco be sure to wear flowers in your hair,scott mckenzie,1967,45,119,False,0.087,0.015,0.8225,0.622
49,the rain the park  other things,the cowsills,1967,81,232,False,0.296,0.024,0.9974,0.651
50,theres a kind of hush,hermans hermits,1967,63,181,True,0.177,0.0,0.9862,0.652
51,mercy mercy mercy,the buckinghams,1967,95,169,False,0.205,0.1,0.9744,0.438
52,this is my song,petula clark,1967,59,137,True,0.244,0.105,0.974,0.569
53,your love keeps lifting me higher and higher,jackie wilson,1967,82,254,False,0.334,0.012,0.999,0.677
54,ive been lonely too long,the young rascals,1967,91,255,True,0.107,0.305,-0.9945,0.643
